,Unnamed: 0,compoundName,symmetryGroupNumber,symmetryGroupNameHTML,topologicalClassificationShortDescription,topologicalSubClassificationShortDescription,smCrossingType,topologicalIndices,similarICSD,band_g
0,0,B,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],"[56992, 62747, 108026, 659240]",0.3729
1,1,C,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],"[28417, 28418]",1.9344833333333333
2,2,C,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],"[27422, 66465, 252268]",2.3824714285714284
3,3,C,227,<i>Fd</i>-3<i>m</i>,trivial,LCEBR,None,[],"[28857, 28858, 28859, 28860, 28861, 28862, 28863, 29068, 29151, 44100, 44101, 52054, 53779, 66464, 76766, 190650, 190651, 190652, 190653, 655131, 656475]",4.1137
4,4,C,36,<i>Cmc</i>2<sub>1</sub>,trivial,LCEBR,None,[],[28419],
5,5,F2,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],[22271],2.3528
6,6,F2,15,<i>C</i>2/<i>c</i>,trivial,LCEBR,None,[],[16262],1.3967500000000002
7,7,H2,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],[62003],7.822299999999999
8,8,I,139,<i>I</i>4/<i>mmm</i>,SM,ESFD,Point,[],[109040],0.0
9,9,I,64,<i>Cmce</i>,trivial,LCEBR,None,[],[194468],1.039
10,10,I,71,<i>Immm</i>,SM,ESFD,Point,[],[109039],0.0
11,11,I2,64,<i>Cmce</i>,trivial,LCEBR,None,[],"[10084, 15318, 20329, 24009, 67612, 67613, 67614, 67615, 67616, 67617, 67618, 67704, 67705, 67706, 657497]",
12,12,K,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],[44669],0.0
13,13,K,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[44670, 44756, 53754, 196973, 641214, 641218]",0.0
14,14,K,62,<i>Pnma</i>,trivial,LCEBR,None,[],[165996],0.0
15,15,N2,136,<i>P</i>4<sub>2</sub>/<i>mnm</i>,trivial,LCEBR,None,[],[24891],6.7429
16,16,N2,167,<i>R</i>-3<i>c</i>,trivial,LCEBR,None,[],"[40936, 644520]",6.9556000000000004
17,17,N2,198,<i>P</i>2<sub>1</sub>3,trivial,LCEBR,None,[],"[15819, 27249]",5.1671
18,18,N2,205,<i>Pa</i>-3,trivial,LCEBR,None,[],"[15472, 26482, 28179]",7.3314
19,19,O,63,<i>Cmcm</i>,trivial,LCEBR,None,[],[92775],
20,20,O2,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],"[18311, 43074, 173932, 173933]",1.2731000000000001
21,21,O2,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],"[15535, 43430, 173934, 190368, 190369]",1.2841000000000002
22,22,O2,223,<i>Pm</i>-3<i>n</i>,SM,ESFD,Point,[],[16574],
23,23,O2,69,<i>Fmmm</i>,trivial,LCEBR,None,[],[37059],0.0
24,24,O3,61,<i>Pbca</i>,trivial,LCEBR,None,[],[51500],
25,25,O8,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],"[156481, 236855, 236856, 236857, 236858]",
26,26,P,166,<i>R</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}]",[53301],0.0
27,27,P,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],"[53302, 600029]",0.0
28,28,P,64,<i>Cmce</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]","[23836, 36432, 36433, 36434, 36435, 36436, 36437, 36438, 36439, 36440, 36441, 36442, 150873, 417180, 600027, 602907, 647884]",1.4787000000000003
29,29,P,64,<i>Cmce</i>,trivial,LCEBR,None,[],"[27847, 647886, 654168]",1.4787000000000003
30,30,P,65,<i>Cmmm</i>,SM,ESFD,Point,[],[162242],
31,31,P4,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],[154318],
32,32,P4,2,<i>P</i>-1,trivial,LCEBR,None,[],[68326],
33,33,S,148,<i>R</i>-3,trivial,LCEBR,None,[],[650792],2.4413
34,34,S,154,<i>P</i>3<sub>2</sub>21,trivial,LCEBR,None,[],[281124],2.2911
35,35,S6,143,<i>P</i>3,trivial,LCEBR,None,[],[20710],
36,36,S6,148,<i>R</i>-3,trivial,LCEBR,None,[],"[27495, 37090, 40021]",
37,37,S7,14,<i>P</i>2<sub>1</sub>/<i>c</i>,trivial,LCEBR,None,[],[16469],
38,38,S8,13,<i>P</i>2/<i>c</i>,trivial,LCEBR,None,[],"[2091, 66517, 82372]",
39,39,S8,70,<i>Fddd</i>,trivial,LCEBR,None,[],"[27261, 27840, 38147, 43251, 63082, 63083, 200453, 200454, 200455, 391460, 412326]",
40,40,U,102,<i>P</i>4<sub>2</sub><i>nm</i>,SM,ES,Line,[],"[43217, 106206]",0.0
41,41,U,136,<i>P</i>4<sub>2</sub>/<i>mnm</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}]",[76166],0.0
42,42,U,136,<i>P</i>4<sub>2</sub>/<i>mnm</i>,SM,ES,Line,[],"[43218, 76490, 653382]",0.0
43,43,U,63,<i>Cmcm</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]","[16056, 16057, 16058, 43339, 43340, 43341, 43419, 44475, 106204, 106205, 173998, 653368, 653370, 653373, 653376, 653381, 654164]",0.0
44,44,V,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[43420, 43619, 43718, 44322, 44509, 44873, 52537, 53792, 76167, 76269, 151408, 171003, 241938, 243662, 260470, 653393, 653394, 653395, 653398, 653399]",0.0
45,45,W,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[43421, 43667, 44323, 44393, 52268, 52538, 53800, 76151, 167904, 653430, 653431, 653432, 653433]",0.0
46,46,Y,12,<i>C</i>2/<i>m</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}]",[187638],
47,47,Y,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ESFD,Point,[],"[43588, 43719, 52539, 95176, 653450, 660002]",0.0
48,48,Y,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],[106221],0.0
49,49,Ac,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],[43491],0.0
50,50,Ag,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Plane,[],[64707],0.0
51,51,Ag,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ESFD,Point,[],[56269],0.0
52,52,Ag,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],"[44387, 52257, 52545, 53759, 53760, 53761, 53762, 64706, 64994, 64995, 64996, 64997, 77917, 604629, 604630, 604631, 604632, 604635]",0.0
53,53,Am,11,<i>P</i>2<sub>1</sub>/<i>m</i>,TI,NLC,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}]",[43456],
54,54,Am,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[43354, 107909, 609752]",
55,55,Am,62,<i>Pnma</i>,SM,ES,Plane,[],[248475],
56,56,Am,63,<i>Cmcm</i>,SM,ESFD,Point,[],[43805],
57,57,Am,70,<i>Fddd</i>,SM,ESFD,Point,[],[248474],
58,58,Ar,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],[77918],8.5064
59,59,Ar,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],"[24788, 29279, 53814]",8.5108
60,60,As,166,<i>R</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]","[16516, 16517, 16518, 609831]",0.0
61,61,As,64,<i>Cmce</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]","[70100, 609832]",0.0
62,62,As,64,<i>Cmce</i>,trivial,LCEBR,None,[],[609828],0.0
63,63,Au,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],"[44362, 52249, 52700, 53763, 64701, 163723, 611623, 611624, 611625, 611628]",0.0
64,64,B12,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],"[94429, 431636, 431637, 431638, 431639, 431640, 431641, 431642, 431643, 431644, 431645, 431646, 431647]",
65,65,Ba,140,<i>I</i>4/<i>mcm</i>,SM,ES,Line,[],"[109028, 109030]",0.0
66,66,Ba,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 7, 'name': 'z6m0', 'htmlName': 'Z<sub>6m0</sub>', 'nbrValues': 6, 'value': 3}, {'id': 11, 'name': 'z12prime', 'htmlName': ""Z<sub>12</sub>'"", 'nbrValues': 12, 'value': 9}]",[52680],0.0
67,67,Ba,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],[615773],0.0
68,68,Ba,225,<i>Fm</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 4}]",[52679],0.0
69,69,Ba,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[44719, 56132, 76156, 77367, 108091, 615774]",0.0
70,70,Ba,65,<i>Cmmm</i>,trivial,LCEBR,None,[],[89237],
71,71,Be,18,<i>P</i>2<sub>1</sub>2<sub>1</sub>2,trivial,LCEBR,None,[],[52706],
72,72,Bi,11,<i>P</i>2<sub>1</sub>/<i>m</i>,TI,NLC,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}]",[42679],0.02156666666666644
73,73,Bi,11,<i>P</i>2<sub>1</sub>/<i>m</i>,trivial,LCEBR,None,[],[616528],0.02156666666666644
74,74,Bi,12,<i>C</i>2/<i>m</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}]","[409752, 653719]",0.7202
75,75,Bi,139,<i>I</i>4/<i>mmm</i>,SM,ESFD,Point,[],[51675],0.0
76,76,Bi,14,<i>P</i>2<sub>1</sub>/<i>c</i>,SM,ES,Line,[],[189806],
77,77,Bi,140,<i>I</i>4/<i>mcm</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[51674],0.0
78,78,Bi,166,<i>R</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}]","[53797, 64703, 64704, 64705, 241983, 241984, 241999, 242000, 242001, 242002, 242003, 242004, 246663, 616519, 616527]",0.0
79,79,Bi,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],[52724],0.0
80,80,Bi,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],[52725],0.0
81,81,Bi,64,<i>Cmce</i>,SM,ES,Line,[],"[187502, 189786]",0.0
82,82,Br2,64,<i>Cmce</i>,trivial,LCEBR,None,[],"[24019, 201692, 201693, 201694, 201695]",
83,83,Ca,64,<i>Cmce</i>,trivial,LCEBR,None,[],[162255],0.0
84,84,Ca,92,<i>P</i>4<sub>1</sub>2<sub>1</sub>2,trivial,LCEBR,None,[],[162253],0.0
85,85,Cd,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 7, 'name': 'z6m0', 'htmlName': 'Z<sub>6m0</sub>', 'nbrValues': 6, 'value': 1}, {'id': 11, 'name': 'z12prime', 'htmlName': ""Z<sub>12</sub>'"", 'nbrValues': 12, 'value': 7}]","[52264, 53770, 64702, 98179, 619641, 619642]",0.0
86,86,Ce,12,<i>C</i>2/<i>m</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]","[2284, 41824]",0.0
87,87,Ce,139,<i>I</i>4/<i>mmm</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 5}]",[52844],
88,88,Ce,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[43381, 52845, 53776, 620618, 620630]",0.0
89,89,Ce,225,<i>Fm</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 5}]","[41823, 42763, 43382, 43575, 44856, 52843, 61539, 61541, 102656, 150482, 620620, 620624, 620625, 620628, 620629]",0.0
90,90,Ce,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],[43569],0.0
91,91,Ce,63,<i>Cmcm</i>,trivial,LCEBR,None,[],"[9745, 41822, 601481]",0.0
92,92,Cl2,138,<i>P</i>4<sub>2</sub>/<i>ncm</i>,trivial,LCEBR,None,[],[22406],2.6511000000000005
93,93,Cl2,64,<i>Cmce</i>,trivial,LCEBR,None,[],"[18154, 24653, 201696, 201697, 201698, 201699]",2.39405
94,94,Co,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ESFD,Point,[],"[44990, 52935, 53806, 76633, 76942, 184251, 622436, 622438]",0.0
95,95,Co,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],"[44989, 52934, 53805, 76632, 196589, 622435, 622437, 622439, 622442, 622443]",0.0
96,96,Cr,139,<i>I</i>4/<i>mmm</i>,SM,ES,Line,[],[625712],
97,97,Cr,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[43526, 151375]",0.0
98,98,Cr,223,<i>Pm</i>-3<i>n</i>,SM,ES,Line,[],"[108326, 625716]",0.0
99,99,Cr,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[44731, 53798, 64711, 150832, 625711, 625714, 625715, 625717]",0.0
100,100,Cs,135,<i>P</i>4<sub>2</sub>/<i>mbc</i>,TI,NLC,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]","[57192, 173928]",0.0
101,101,Cs,141,<i>I</i>4<sub>1</sub>/<i>amd</i>,SM,ESFD,Point,[],"[109021, 150187]",0.0
102,102,Cs,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ESFD,Point,[],[57180],0.0
103,103,Cs,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],"[42662, 53232, 53233]",0.0
104,104,Cs,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[44754, 76941, 196974, 626969, 626975]",0.0
105,105,Cs,57,<i>Pbcm</i>,SM,ES,Plane,[],[173930],0.0
106,106,Cs,62,<i>Pnma</i>,SM,ES,Plane,[],[173929],0.0
107,107,Cs,64,<i>Cmce</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[109022],0.0
108,108,Cu,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],"[43493, 52256, 53246, 53247, 53755, 53756, 53757, 53758, 64699, 627113, 627114, 627115, 627117, 655129]",0.0
109,109,Dy,166,<i>R</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]","[52518, 629537, 629540]",0.023400000000000087
110,110,Dy,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[43581, 53357, 95172, 108420, 157919, 191188, 252943, 629536]",0.0
111,111,Dy,225,<i>Fm</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 1}]",[53356],0.0
112,112,Dy,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],[53358],0.0
113,113,Dy,65,<i>Cmmm</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]",[157920],
114,114,Er,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[43583, 43688, 53387, 247674, 291797, 630392, 630394]",0.0
115,115,Er,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],[53386],0.0
116,116,Er,229,<i>Im</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 7}]",[53388],0.0
117,117,Eu,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ESFD,Point,[],"[53423, 604034, 604152]",0.0
118,118,Eu,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],[631240],0.0
119,119,Eu,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[43578, 44498, 44720, 53422, 53424, 102658, 604033]",0.0
120,120,Fe,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[53450, 631723, 631726]",0.0
121,121,Fe,225,<i>Fm</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 4}]","[44862, 53449, 53803, 185720, 185721, 185722, 185723, 185724, 185725, 185726, 185727, 185728, 185729, 185730, 185731, 185732, 185733, 185734, 185735, 185736, 185737, 185738, 185739, 185740, 185741, 185742, 185743, 185744, 185745, 185746, 185747, 185748, 185749, 185750, 185751, 185752, 185753, 185754, 185755, 185756, 185757, 185758, 631730, 631733]",0.0
122,122,Fe,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[44863, 52258, 53451, 53452, 53802, 53804, 64795, 64998, 64999, 76747, 159352, 159353, 159354, 180969, 180970, 180971, 631722, 631724, 631727, 631728, 631729, 631734, 631736]",0.0
123,123,Ga,15,<i>C</i>2/<i>c</i>,SM,ESFD,Point,[],[23247],
124,124,Ga,166,<i>R</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[2513],0.0
125,125,Ga,220,<i>I</i>-43<i>d</i>,SM,ESFD,Point,[],[12173],0.0
126,126,Ga,63,<i>Cmcm</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]",[2795],0.0
127,127,Ga,63,<i>Cmcm</i>,SM,ESFD,Point,[],[43539],0.0
128,128,Ga,64,<i>Cmce</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]","[43388, 52271, 109032, 151376, 634202, 634203, 654170]",0.0
129,129,Gd,166,<i>R</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]","[52517, 635712]",0.0
130,130,Gd,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[53607, 102659, 635703, 635708, 635710, 635713]",0.0
131,131,Gd,225,<i>Fm</i>-3<i>m</i>,SM,ES,Line,[],"[20502, 635709]",0.0
132,132,Gd,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],[104045],0.0
133,133,Ge,141,<i>I</i>4<sub>1</sub>/<i>amd</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]","[53643, 636530]",0.0
134,134,Ge,148,<i>R</i>-3,trivial,LCEBR,None,[],"[245956, 245957, 245958, 245959, 245960, 245961]",0.0
135,135,Ge,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],[189805],0.020333333333333314
136,136,Ge,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],[167204],0.020333333333333314
137,137,Ge,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],[636526],0.0
138,138,Ge,227,<i>Fd</i>-3<i>m</i>,SM,ESFD,Point,[],"[43422, 44610, 44841, 53642, 76146, 76267, 184252, 196730, 636527, 636528, 636535]",0.22616666666666665
139,139,Ge,227,<i>Fd</i>-3<i>m</i>,trivial,LCEBR,None,[],"[53788, 54237]",0.22616666666666665
140,140,Ge,64,<i>Cmce</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]","[94305, 189803, 248479]",0.0
141,141,Ge,74,<i>Imma</i>,TI,NLC,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[246628],0.0
142,142,Ge,96,<i>P</i>4<sub>3</sub>2<sub>1</sub>2,trivial,LCEBR,None,[],"[16570, 16954, 173516, 173517, 173518, 173519, 173520, 173521, 173522, 173523, 173524, 173525, 173526, 173527, 173528, 419380]",0.4991000000000003
143,143,He,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],"[43426, 44394, 44396]",17.7667
144,144,He,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],[22384],17.9023
145,145,He,229,<i>Im</i>-3<i>m</i>,trivial,LCEBR,None,[],"[43425, 44395]",17.6526
146,146,Hf,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[53022, 76411, 638559, 638561]",0.0
147,147,Hf,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[53023, 76412, 104208]",0.0
148,148,Hg,12,<i>C</i>2/<i>m</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]",[157861],0.07819999999999994
149,149,Hg,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],[79804],0.07819999999999994
