,Unnamed: 0,compoundName,symmetryGroupNumber,symmetryGroupNameHTML,topologicalClassificationShortDescription,topologicalSubClassificationShortDescription,smCrossingType,topologicalIndices,similarICSD,band_g
6327,6327,SiTe2,164,<i>P</i>-3<i>m</i>1,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]",[80205],0.0
6328,6328,SiTe2,164,<i>P</i>-3<i>m</i>1,SM,ES,Line,[],[652385],0.0
6329,6329,SiTh,62,<i>Pnma</i>,trivial,LCEBR,None,[],"[26570, 652392, 652396, 652406]",
6330,6330,SiTi,25,<i>Pmm</i>2,trivial,LCEBR,None,[],"[20375, 166580, 652436]",
6331,6331,SiTi,62,<i>Pnma</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]","[43494, 652414]",
6332,6332,SiTm,63,<i>Cmcm</i>,SM,ESFD,Point,[],[652456],
6333,6333,SiYb,63,<i>Cmcm</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]","[52479, 652599]",
6334,6334,SiZr,62,<i>Pnma</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]","[16771, 43245, 652609]",
6335,6335,SiZr,63,<i>Cmcm</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]","[20284, 652617]",
6336,6336,SiZr2,140,<i>I</i>4/<i>mcm</i>,TI,NLC,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 1}]","[24717, 42522, 652618]",
6337,6337,SiZr2,140,<i>I</i>4/<i>mcm</i>,SM,ES,Line,[],[652615],
6338,6338,SiZr3,86,<i>P</i>4<sub>2</sub>/<i>n</i>,SM,ES,Line,[],[652620],
6339,6339,Si2Sr,141,<i>I</i>4<sub>1</sub>/<i>amd</i>,trivial,LCEBR,None,[],"[1455, 37185, 99238, 659992]",
6340,6340,Si2Sr,212,<i>P</i>4<sub>3</sub>32,trivial,LCEBR,None,[],"[2460, 2860, 24145, 652289]",
6341,6341,Si2Sr,213,<i>P</i>4<sub>1</sub>32,trivial,LCEBR,None,[],[30373],
6342,6342,Si2Ta,180,<i>P</i>6<sub>2</sub>22,SM,ESFD,Point,[],"[43596, 151192, 603163, 652301, 652307, 652311, 652316, 652325, 652333]",
6343,6343,Si2Ta,181,<i>P</i>6<sub>4</sub>22,SM,ESFD,Point,[],[96028],
6344,6344,Si2Tb,141,<i>I</i>4<sub>1</sub>/<i>amd</i>,SM,ESFD,Point,[],[652377],
6345,6345,Si2Tb,191,<i>P</i>6/<i>mmm</i>,SM,ESFD,Point,[],"[20247, 652354, 652375]",
6346,6346,Si2Tb,74,<i>Imma</i>,SM,ESFD,Point,[],"[652355, 652360, 652370]",
6347,6347,Si2Th,141,<i>I</i>4<sub>1</sub>/<i>amd</i>,trivial,LCEBR,None,[],"[77320, 652390, 652403]",
6348,6348,Si2Th,191,<i>P</i>6/<i>mmm</i>,SM,ES,Line,[],"[15449, 26569]",
