compoundName,symmetryGroupNumber,symmetryGroupNameHTML,topologicalClassificationShortDescription,topologicalSubClassificationShortDescription,smCrossingType,topologicalIndices,similarICSD
B1,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],"[56992, 62747, 108026, 659240]"
C1,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],"[28417, 28418]"
C1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],"[27422, 66465, 252268]"
C1,227,<i>Fd</i>-3<i>m</i>,trivial,LCEBR,None,[],"[28857, 28858, 28859, 28860, 28861, 28862, 28863, 29068, 29151, 44100, 44101, 52054, 53779, 66464, 76766, 190650, 190651, 190652, 190653, 655131, 656475]"
C1,36,<i>Cmc</i>2<sub>1</sub>,trivial,LCEBR,None,[],[28419]
F2,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],[22271]
F2,15,<i>C</i>2/<i>c</i>,trivial,LCEBR,None,[],[16262]
H2,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],[62003]
I1,139,<i>I</i>4/<i>mmm</i>,SM,ESFD,Point,[],[109040]
I1,64,<i>Cmce</i>,trivial,LCEBR,None,[],[194468]
I1,71,<i>Immm</i>,SM,ESFD,Point,[],[109039]
I2,64,<i>Cmce</i>,trivial,LCEBR,None,[],"[10084, 15318, 20329, 24009, 67612, 67613, 67614, 67615, 67616, 67617, 67618, 67704, 67705, 67706, 657497]"
K1,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],[44669]
K1,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[44670, 44756, 53754, 196973, 641214, 641218]"
K1,62,<i>Pnma</i>,trivial,LCEBR,None,[],[165996]
N2,136,<i>P</i>4<sub>2</sub>/<i>mnm</i>,trivial,LCEBR,None,[],[24891]
N2,167,<i>R</i>-3<i>c</i>,trivial,LCEBR,None,[],"[40936, 644520]"
N2,198,<i>P</i>2<sub>1</sub>3,trivial,LCEBR,None,[],"[15819, 27249]"
N2,205,<i>Pa</i>-3,trivial,LCEBR,None,[],"[15472, 26482, 28179]"
O1,63,<i>Cmcm</i>,trivial,LCEBR,None,[],[92775]
O2,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],"[18311, 43074, 173932, 173933]"
O2,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],"[15535, 43430, 173934, 190368, 190369]"
O2,223,<i>Pm</i>-3<i>n</i>,SM,ESFD,Point,[],[16574]
O2,69,<i>Fmmm</i>,trivial,LCEBR,None,[],[37059]
O3,61,<i>Pbca</i>,trivial,LCEBR,None,[],[51500]
O8,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],"[156481, 236855, 236856, 236857, 236858]"
P1,166,<i>R</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}]",[53301]
P1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],"[53302, 600029]"
P1,64,<i>Cmce</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]","[23836, 36432, 36433, 36434, 36435, 36436, 36437, 36438, 36439, 36440, 36441, 36442, 150873, 417180, 600027, 602907, 647884]"
P1,64,<i>Cmce</i>,trivial,LCEBR,None,[],"[27847, 647886, 654168]"
P1,65,<i>Cmmm</i>,SM,ESFD,Point,[],[162242]
P4,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],[154318]
P4,2,<i>P</i>-1,trivial,LCEBR,None,[],[68326]
S1,148,<i>R</i>-3,trivial,LCEBR,None,[],[650792]
S1,154,<i>P</i>3<sub>2</sub>21,trivial,LCEBR,None,[],[281124]
S6,143,<i>P</i>3,trivial,LCEBR,None,[],[20710]
S6,148,<i>R</i>-3,trivial,LCEBR,None,[],"[27495, 37090, 40021]"
S7,14,<i>P</i>2<sub>1</sub>/<i>c</i>,trivial,LCEBR,None,[],[16469]
S8,13,<i>P</i>2/<i>c</i>,trivial,LCEBR,None,[],"[2091, 66517, 82372]"
S8,70,<i>Fddd</i>,trivial,LCEBR,None,[],"[27261, 27840, 38147, 43251, 63082, 63083, 200453, 200454, 200455, 391460, 412326]"
U1,102,<i>P</i>4<sub>2</sub><i>nm</i>,SM,ES,Line,[],"[43217, 106206]"
U1,136,<i>P</i>4<sub>2</sub>/<i>mnm</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}]",[76166]
U1,136,<i>P</i>4<sub>2</sub>/<i>mnm</i>,SM,ES,Line,[],"[43218, 76490, 653382]"
U1,63,<i>Cmcm</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]","[16056, 16057, 16058, 43339, 43340, 43341, 43419, 44475, 106204, 106205, 173998, 653368, 653370, 653373, 653376, 653381, 654164]"
V1,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[43420, 43619, 43718, 44322, 44509, 44873, 52537, 53792, 76167, 76269, 151408, 171003, 241938, 243662, 260470, 653393, 653394, 653395, 653398, 653399]"
W1,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[43421, 43667, 44323, 44393, 52268, 52538, 53800, 76151, 167904, 653430, 653431, 653432, 653433]"
Y1,12,<i>C</i>2/<i>m</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}]",[187638]
Y1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ESFD,Point,[],"[43588, 43719, 52539, 95176, 653450, 660002]"
Y1,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],[106221]
Ac1,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],[43491]
Ag1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Plane,[],[64707]
Ag1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ESFD,Point,[],[56269]
Ag1,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],"[44387, 52257, 52545, 53759, 53760, 53761, 53762, 64706, 64994, 64995, 64996, 64997, 77917, 604629, 604630, 604631, 604632, 604635]"
Am1,11,<i>P</i>2<sub>1</sub>/<i>m</i>,TI,NLC,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}]",[43456]
Am1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[43354, 107909, 609752]"
Am1,62,<i>Pnma</i>,SM,ES,Plane,[],[248475]
Am1,63,<i>Cmcm</i>,SM,ESFD,Point,[],[43805]
Am1,70,<i>Fddd</i>,SM,ESFD,Point,[],[248474]
Ar1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],[77918]
Ar1,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],"[24788, 29279, 53814]"
As1,166,<i>R</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]","[16516, 16517, 16518, 609831]"
As1,64,<i>Cmce</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]","[70100, 609832]"
As1,64,<i>Cmce</i>,trivial,LCEBR,None,[],[609828]
Au1,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],"[44362, 52249, 52700, 53763, 64701, 163723, 611623, 611624, 611625, 611628]"
B12,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],"[94429, 431636, 431637, 431638, 431639, 431640, 431641, 431642, 431643, 431644, 431645, 431646, 431647]"
Ba1,140,<i>I</i>4/<i>mcm</i>,SM,ES,Line,[],"[109028, 109030]"
Ba1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 7, 'name': 'z6m0', 'htmlName': 'Z<sub>6m0</sub>', 'nbrValues': 6, 'value': 3}, {'id': 11, 'name': 'z12prime', 'htmlName': ""Z<sub>12</sub>'"", 'nbrValues': 12, 'value': 9}]",[52680]
Ba1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],[615773]
Ba1,225,<i>Fm</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 4}]",[52679]
Ba1,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[44719, 56132, 76156, 77367, 108091, 615774]"
Ba1,65,<i>Cmmm</i>,trivial,LCEBR,None,[],[89237]
Be1,18,<i>P</i>2<sub>1</sub>2<sub>1</sub>2,trivial,LCEBR,None,[],[52706]
Bi1,11,<i>P</i>2<sub>1</sub>/<i>m</i>,TI,NLC,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}]",[42679]
Bi1,11,<i>P</i>2<sub>1</sub>/<i>m</i>,trivial,LCEBR,None,[],[616528]
Bi1,12,<i>C</i>2/<i>m</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}]","[409752, 653719]"
Bi1,139,<i>I</i>4/<i>mmm</i>,SM,ESFD,Point,[],[51675]
Bi1,14,<i>P</i>2<sub>1</sub>/<i>c</i>,SM,ES,Line,[],[189806]
Bi1,140,<i>I</i>4/<i>mcm</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[51674]
Bi1,166,<i>R</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}]","[53797, 64703, 64704, 64705, 241983, 241984, 241999, 242000, 242001, 242002, 242003, 242004, 246663, 616519, 616527]"
Bi1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],[52724]
Bi1,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],[52725]
Bi1,64,<i>Cmce</i>,SM,ES,Line,[],"[187502, 189786]"
Br2,64,<i>Cmce</i>,trivial,LCEBR,None,[],"[24019, 201692, 201693, 201694, 201695]"
Ca1,64,<i>Cmce</i>,trivial,LCEBR,None,[],[162255]
Ca1,92,<i>P</i>4<sub>1</sub>2<sub>1</sub>2,trivial,LCEBR,None,[],[162253]
Cd1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 7, 'name': 'z6m0', 'htmlName': 'Z<sub>6m0</sub>', 'nbrValues': 6, 'value': 1}, {'id': 11, 'name': 'z12prime', 'htmlName': ""Z<sub>12</sub>'"", 'nbrValues': 12, 'value': 7}]","[52264, 53770, 64702, 98179, 619641, 619642]"
Ce1,12,<i>C</i>2/<i>m</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]","[2284, 41824]"
Ce1,139,<i>I</i>4/<i>mmm</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 5}]",[52844]
Ce1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[43381, 52845, 53776, 620618, 620630]"
Ce1,225,<i>Fm</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 5}]","[41823, 42763, 43382, 43575, 44856, 52843, 61539, 61541, 102656, 150482, 620620, 620624, 620625, 620628, 620629]"
Ce1,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],[43569]
Ce1,63,<i>Cmcm</i>,trivial,LCEBR,None,[],"[9745, 41822, 601481]"
Cl2,138,<i>P</i>4<sub>2</sub>/<i>ncm</i>,trivial,LCEBR,None,[],[22406]
Cl2,64,<i>Cmce</i>,trivial,LCEBR,None,[],"[18154, 24653, 201696, 201697, 201698, 201699]"
Co1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ESFD,Point,[],"[44990, 52935, 53806, 76633, 76942, 184251, 622436, 622438]"
Co1,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],"[44989, 52934, 53805, 76632, 196589, 622435, 622437, 622439, 622442, 622443]"
Cr1,139,<i>I</i>4/<i>mmm</i>,SM,ES,Line,[],[625712]
Cr1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[43526, 151375]"
Cr1,223,<i>Pm</i>-3<i>n</i>,SM,ES,Line,[],"[108326, 625716]"
Cr1,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[44731, 53798, 64711, 150832, 625711, 625714, 625715, 625717]"
Cs1,135,<i>P</i>4<sub>2</sub>/<i>mbc</i>,TI,NLC,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]","[57192, 173928]"
Cs1,141,<i>I</i>4<sub>1</sub>/<i>amd</i>,SM,ESFD,Point,[],"[109021, 150187]"
Cs1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ESFD,Point,[],[57180]
Cs1,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],"[42662, 53232, 53233]"
Cs1,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[44754, 76941, 196974, 626969, 626975]"
Cs1,57,<i>Pbcm</i>,SM,ES,Plane,[],[173930]
Cs1,62,<i>Pnma</i>,SM,ES,Plane,[],[173929]
Cs1,64,<i>Cmce</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[109022]
Cu1,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],"[43493, 52256, 53246, 53247, 53755, 53756, 53757, 53758, 64699, 627113, 627114, 627115, 627117, 655129]"
Dy1,166,<i>R</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]","[52518, 629537, 629540]"
Dy1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[43581, 53357, 95172, 108420, 157919, 191188, 252943, 629536]"
Dy1,225,<i>Fm</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 1}]",[53356]
Dy1,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],[53358]
Dy1,65,<i>Cmmm</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]",[157920]
Er1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[43583, 43688, 53387, 247674, 291797, 630392, 630394]"
Er1,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],[53386]
Er1,229,<i>Im</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 7}]",[53388]
Eu1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ESFD,Point,[],"[53423, 604034, 604152]"
Eu1,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],[631240]
Eu1,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[43578, 44498, 44720, 53422, 53424, 102658, 604033]"
Fe1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[53450, 631723, 631726]"
Fe1,225,<i>Fm</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 4}]","[44862, 53449, 53803, 185720, 185721, 185722, 185723, 185724, 185725, 185726, 185727, 185728, 185729, 185730, 185731, 185732, 185733, 185734, 185735, 185736, 185737, 185738, 185739, 185740, 185741, 185742, 185743, 185744, 185745, 185746, 185747, 185748, 185749, 185750, 185751, 185752, 185753, 185754, 185755, 185756, 185757, 185758, 631730, 631733]"
Fe1,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[44863, 52258, 53451, 53452, 53802, 53804, 64795, 64998, 64999, 76747, 159352, 159353, 159354, 180969, 180970, 180971, 631722, 631724, 631727, 631728, 631729, 631734, 631736]"
Ga1,15,<i>C</i>2/<i>c</i>,SM,ESFD,Point,[],[23247]
Ga1,166,<i>R</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[2513]
Ga1,220,<i>I</i>-43<i>d</i>,SM,ESFD,Point,[],[12173]
Ga1,63,<i>Cmcm</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]",[2795]
Ga1,63,<i>Cmcm</i>,SM,ESFD,Point,[],[43539]
Ga1,64,<i>Cmce</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]","[43388, 52271, 109032, 151376, 634202, 634203, 654170]"
Gd1,166,<i>R</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]","[52517, 635712]"
Gd1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[53607, 102659, 635703, 635708, 635710, 635713]"
Gd1,225,<i>Fm</i>-3<i>m</i>,SM,ES,Line,[],"[20502, 635709]"
Gd1,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],[104045]
Ge1,141,<i>I</i>4<sub>1</sub>/<i>amd</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]","[53643, 636530]"
Ge1,148,<i>R</i>-3,trivial,LCEBR,None,[],"[245956, 245957, 245958, 245959, 245960, 245961]"
Ge1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],[189805]
Ge1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],[167204]
Ge1,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],[636526]
Ge1,227,<i>Fd</i>-3<i>m</i>,SM,ESFD,Point,[],"[43422, 44610, 44841, 53642, 76146, 76267, 184252, 196730, 636527, 636528, 636535]"
Ge1,227,<i>Fd</i>-3<i>m</i>,trivial,LCEBR,None,[],"[53788, 54237]"
Ge1,64,<i>Cmce</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]","[94305, 189803, 248479]"
Ge1,74,<i>Imma</i>,TI,NLC,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[246628]
Ge1,96,<i>P</i>4<sub>3</sub>2<sub>1</sub>2,trivial,LCEBR,None,[],"[16570, 16954, 173516, 173517, 173518, 173519, 173520, 173521, 173522, 173523, 173524, 173525, 173526, 173527, 173528, 419380]"
He1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],"[43426, 44394, 44396]"
He1,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],[22384]
He1,229,<i>Im</i>-3<i>m</i>,trivial,LCEBR,None,[],"[43425, 44395]"
Hf1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[53022, 76411, 638559, 638561]"
Hf1,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[53023, 76412, 104208]"
Hg1,12,<i>C</i>2/<i>m</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]",[157861]
Hg1,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],[79804]
Hg1,139,<i>I</i>4/<i>mmm</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 5}]",[43558]
Hg1,166,<i>R</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]","[104296, 654919]"
Hg1,191,<i>P</i>6/<i>mmm</i>,SM,ES,Line,[],[56897]
Ho1,166,<i>R</i>-3<i>m</i>,SM,ESFD,Point,[],"[52519, 639321, 639322]"
Ho1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ESFD,Point,[],"[43582, 56225, 56226, 102660, 603833]"
Ho1,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],[56224]
Ho1,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],[56227]
In1,139,<i>I</i>4/<i>mmm</i>,SM,ESFD,Point,[],"[53091, 53777, 64794, 109033, 171679, 182782, 182784, 182786, 182788, 182791, 196597, 639810, 639812, 639813, 639814, 639815, 639816, 639817, 654519]"
In1,69,<i>Fmmm</i>,SM,ESFD,Point,[],[57392]
Ir1,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],"[53813, 64992, 640729, 640730, 659854]"
Kr1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],[9785]
Kr1,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],[43726]
La1,139,<i>I</i>4/<i>mmm</i>,SM,ESFD,Point,[],[641383]
