compoundName,symmetryGroupNumber,symmetryGroupNameHTML,topologicalClassificationShortDescription,topologicalSubClassificationShortDescription,smCrossingType,topologicalIndices,similarICSD
Te4 V5,87,<i>I</i>4/<i>m</i>,SM,ESFD,Point,[],[42881]
Te5 U1,62,<i>Pnma</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}]",[653137]
Te5 U2,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],"[78888, 84341]"
Te5 U3,62,<i>Pnma</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]",[653157]
Te5 U3,62,<i>Pnma</i>,trivial,LCEBR,None,[],[51141]
Ti1 U2,191,<i>P</i>6/<i>mmm</i>,SM,ES,Line,[],"[96155, 106173, 653285, 653286]"
Tl1 Y1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],[106195]
Tl3 U1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],"[106194, 653330]"
Tl3 Y1,221,<i>Pm</i>-3<i>m</i>,SM,ES,Line,[],"[106196, 653336, 653338]"
Tl3 Y5,193,<i>P</i>6<sub>3</sub>/<i>mcm</i>,SM,ES,Line,[],[653334]
Tl5 Y3,63,<i>Cmcm</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]",[653335]
V1 Zn3,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],[106240]
V2 Zr1,227,<i>Fd</i>-3<i>m</i>,SM,ESFD,Point,[],"[106214, 106215, 167450, 653405, 653406, 653407, 653408, 653409, 653410, 653411, 653413, 653415, 653417, 653418, 653420, 653426, 653427, 653428, 656648]"
V4 Zn5,139,<i>I</i>4/<i>mmm</i>,SM,ES,Line,[],"[106213, 653404]"
W2 Zr1,227,<i>Fd</i>-3<i>m</i>,SM,ESFD,Point,[],"[106217, 106218, 151401, 653435, 653438, 653443, 653444, 653445, 653446, 653447]"
W5 Zr3,140,<i>I</i>4/<i>mcm</i>,SM,ES,Line,[],[653434]
Y1 Zn1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],"[106225, 106226, 653454, 653455, 653460, 653464, 653468]"
Y1 Zn5,191,<i>P</i>6/<i>mmm</i>,SM,ESFD,Point,[],[106228]
Ac1 Br3,176,<i>P</i>6<sub>3</sub>/<i>m</i>,trivial,LCEBR,None,[],[31578]
Ac1 Cl3,176,<i>P</i>6<sub>3</sub>/<i>m</i>,trivial,LCEBR,None,[],[31569]
Ag1 Ba1,62,<i>Pnma</i>,SM,ES,Plane,[],"[57342, 260623]"
Ag1 Be2,227,<i>Fd</i>-3<i>m</i>,SM,ESFD,Point,[],"[57347, 604819]"
Ag1 Br1,11,<i>P</i>2<sub>1</sub>/<i>m</i>,trivial,LCEBR,None,[],"[56549, 56550, 56551]"
Ag1 Br1,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],"[52246, 53850, 56546, 56547, 56548, 65061, 65062]"
Ag1 Ca1,63,<i>Cmcm</i>,SM,ESFD,Point,[],"[54979, 57353]"
Ag1 Cd1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],"[57360, 604896, 604906, 604907]"
Ag1 Ce1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],"[57367, 150962, 604934, 604936, 604939, 604941]"
Ag1 Cl1,11,<i>P</i>2<sub>1</sub>/<i>m</i>,trivial,LCEBR,None,[],"[56541, 56542, 56543]"
Ag1 Cl1,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],"[56538, 56539, 56540, 64734]"
Ag1 Cl1,63,<i>Cmcm</i>,trivial,LCEBR,None,[],"[56544, 56545]"
Ag1 Dy1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],"[57379, 150538, 191694, 196543, 605068, 605071, 605072]"
Ag1 Er1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],"[58234, 58251, 167893, 605095, 605102]"
Ag1 Eu1,62,<i>Pnma</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]",[58257]
Ag1 Ga1,221,<i>Pm</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 5, 'name': 'z4mpi', 'htmlName': 'Z<sub>4&pi;</sub>', 'nbrValues': 4, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 4}]",[104466]
Ag1 Gd1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],"[58265, 150536, 150934, 605248, 605252, 605255, 605259]"
Ag1 Hf1,129,<i>P</i>4/<i>nmm</i>,SM,ESFD,Point,[],[605330]
Ag1 Hf2,139,<i>I</i>4/<i>mmm</i>,SM,ESFD,Point,[],[605329]
Ag1 Ho1,221,<i>Pm</i>-3<i>m</i>,SM,ES,Line,[],"[58277, 104474, 605351, 605352]"
